Entity,Code,Year,Proportion of people age 16-24 engaging in social networking online (%)
Australia,AUS,2013,87.676
Austria,AUT,2014,86.958
Belgium,BEL,2014,88.963
Chile,CHL,2014,87.183
Czechia,CZE,2014,91.911
Denmark,DNK,2014,94.492
Estonia,EST,2014,92.123
Finland,FIN,2014,93.687
France,FRA,2014,77.234
Germany,DEU,2014,90.374
Greece,GRC,2014,83.186
Hungary,HUN,2014,96.525
Iceland,ISL,2014,97.214
Ireland,IRL,2014,92.261
Israel,ISR,2013,86.643
Italy,ITA,2014,86.503
Latvia,LVA,2014,93.918
Luxembourg,LUX,2014,91.991
Mexico,MEX,2014,53.382
Netherlands,NLD,2014,92.573
New Zealand,NZL,2012,91.398
Norway,NOR,2014,94.714
OECD,,2014,89.133
Poland,POL,2014,85.999
Portugal,PRT,2014,95.309
Slovakia,SVK,2014,90.241
Slovenia,SVN,2014,93.166
South Korea,KOR,2014,86.286
Spain,ESP,2014,91.306
Sweden,SWE,2014,96.026
Switzerland,CHE,2014,83.173
Turkey,TUR,2014,88.092
United Kingdom,GBR,2014,92.729
