Entity,Code,Year,Technology Diffusion (Comin and Hobijn (2004) and others)
Automobile,,1915,10
Automobile,,1916,12
Automobile,,1917,17
Automobile,,1918,19
Automobile,,1919,23
Automobile,,1920,28
Automobile,,1921,31
Automobile,,1922,34
Automobile,,1923,39
Automobile,,1924,44
Automobile,,1925,49
Automobile,,1926,54
Automobile,,1927,56
Automobile,,1928,58
Automobile,,1929,58.5
Automobile,,1930,59
Automobile,,1931,56
Automobile,,1932,53
Automobile,,1933,50
Automobile,,1934,51
Automobile,,1935,52
Automobile,,1936,54
Automobile,,1937,55
Automobile,,1938,54
Automobile,,1939,54
Automobile,,1940,55
Automobile,,1941,57
Automobile,,1942,53
Automobile,,1943,49
Automobile,,1944,47
Automobile,,1945,46
Automobile,,1946,48
Automobile,,1947,51
Automobile,,1948,53
Automobile,,1949,55
Automobile,,1950,58
Automobile,,1951,60
Automobile,,1952,60
Automobile,,1953,62
Automobile,,1954,65
Automobile,,1955,68
Automobile,,1956,72
Automobile,,1957,74
Automobile,,1958,71
Automobile,,1959,73
Automobile,,1960,75
Automobile,,1961,76
Automobile,,1962,75
Automobile,,1963,79
Automobile,,1964,79
Automobile,,1965,79
Automobile,,1966,79
Automobile,,1967,78
Automobile,,1968,78.5
Automobile,,1969,79
Automobile,,1970,80
Automobile,,1971,80
Automobile,,1972,81
Automobile,,1973,82
Automobile,,1974,83
Automobile,,1975,83
Automobile,,1976,84
Automobile,,1977,85
Automobile,,1978,85
Automobile,,1979,85
Automobile,,1980,86
Automobile,,1981,86
Automobile,,1982,86
Automobile,,1983,86.5
Automobile,,1984,87
Automobile,,1985,88
Automobile,,1986,88
Automobile,,1987,89
Automobile,,1988,89.5
Automobile,,1989,90
Automobile,,1990,91
Automobile,,1991,91
Automobile,,1992,91
Automobile,,1993,92
Automobile,,1994,91
Automobile,,1995,91
Automobile,,1996,92
Automobile,,1997,92
Automobile,,1998,92
Automobile,,1999,91
Automobile,,2000,92
Automobile,,2001,92
Automobile,,2002,91
Automobile,,2003,91
Automobile,,2004,91
Automobile,,2005,91
Cellular phone,,1994,10
Cellular phone,,1995,12
Cellular phone,,1996,16
Cellular phone,,1997,21
Cellular phone,,1998,36.3
Cellular phone,,1999,34
Cellular phone,,2000,42
Cellular phone,,2001,49
Cellular phone,,2002,56
Cellular phone,,2003,62.8
Cellular phone,,2004,63
Cellular phone,,2005,71.3
Cellular phone,,2006,67
Cellular phone,,2007,73
Cellular phone,,2008,75
Cellular phone,,2009,84
Cellular phone,,2010,87.2
Cellular phone,,2011,89
Cellular phone,,2012,87
Cellular phone,,2013,90
Cellular phone,,2014,91
Cellular phone,,2015,92
Cellular phone,,2016,93
Cellular phone,,2017,94
Cellular phone,,2018,95
Cellular phone,,2019,96
Colour TV,,1966,10
Colour TV,,1967,15
Colour TV,,1968,21
Colour TV,,1969,25
Colour TV,,1970,31
Colour TV,,1971,39
Colour TV,,1972,43
Colour TV,,1973,48
Colour TV,,1974,57
Colour TV,,1975,64
Colour TV,,1976,69
Colour TV,,1977,74
Colour TV,,1978,75
Colour TV,,1979,78
Colour TV,,1980,79
Colour TV,,1981,80
Colour TV,,1982,85
Colour TV,,1983,88
Colour TV,,1984,89
Colour TV,,1985,90
Colour TV,,1986,90.5
Colour TV,,1987,91
Colour TV,,1988,93
Colour TV,,1989,94
Colour TV,,1990,96
